,Drug,Recommendation,Rationale,Creatinine Clearance,Condition
582,Hydromorphone,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",,History of falls or fractures
583,Fentanyl,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",,History of falls or fractures
584,Carfentanil,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others.",,History of falls or fractures
585,Metoclopramide,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
586,Prochlorperazine,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
587,Promethazine,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
588,Chlorpromazine,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
589,Droperidol,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
590,Fluphenazine,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
591,Haloperidol,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
592,Loxapine,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
593,Perphenazine,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
594,Pimozide,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
595,Prochlorperazine,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
596,Thioridazine,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
597,Thiothixene,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others.",,Parkinson Disease
