Drug,Condition,Recommendation,Rationale
Ziprasidone,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Pimavanserin,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Alprazolam,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Estazolam,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Lorazepam,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Oxazepam,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Temazepam,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Triazolam,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Chlordiazepoxide,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Clonazepam,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
